cashback_id;product_name;limitation_code;limitation_type;indication_name_de;indication_name_fr;cashback_company;detection_patterns;calc_type;calc_value;unit;threshold_type;threshold_value;threshold_unit;cond_treatment_stop;cond_adverse_effects;cond_treatment_failure;cotreatments;cashback_extract;description_fr_full;first_seen;last_seen
647;Abirateron Accord;ABIRATAccor2;DIA;Austausch Originalpräparat/Generikum;Substitution préparation originale/générique;Accord Healthcare AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Accord Healthcare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"<b>Substitution préparation originale/générique</b><br>
Aucune nouvelle garantie de prise en charge n'est nécessaire pour le traitement par ABIRATERON ACCORD s'il existe déjà une garantie de prise en charge pour la préparation originale ou un autre générique dans la même indication. <br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Accord Healthcare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.10.2024;01.01.2026
302;Abirateron Accord;ABIRATAccord;DIA;;;Accord Healthcare AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Accord Healthcare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Accord Healthcare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.04.2022;01.09.2024
602;Abirateron Devatis;ABIRAT.Devat;DIA;;;Devatis AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Devatis AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Devatis AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.04.2024;01.09.2024
648;Abirateron Devatis;ABIRATDevat2;DIA;Austausch Originalpräparat/Generikum;Substitution préparation originale/générique;Devatis AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Devatis AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"<b>Substitution préparation originale/générique</b><br>
Aucune nouvelle garantie de prise en charge n'est nécessaire pour le traitement par ABIRATERON DEVATIS s'il existe déjà une garantie de prise en charge pour la préparation originale ou un autre générique dans la même indication. <br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Devatis AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.10.2024;01.01.2026
649;Abirateron Sandoz;ABIRATSand02;DIA;Austausch Originalpräparat/Generikum;Substitution préparation originale/générique;Sandoz Pharmaceuticals AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Sandoz Pharmaceuticals AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"<b>Substitution préparation originale/générique</b><br>
Aucune nouvelle garantie de prise en charge n'est nécessaire pour le traitement par ABIRATERON SANDOZ s'il existe déjà une garantie de prise en charge pour la préparation originale ou un autre générique dans la même indication. <br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Sandoz Pharmaceuticals AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.10.2024;01.01.2026
250;Abirateron Sandoz;ABIRATSandoz;DIA;;;Sandoz Pharmaceuticals AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Sandoz Pharmaceuticals AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Sandoz Pharmaceuticals AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.01.2022;01.09.2024
650;Abirateron Spirig HC;ABIRATSpiri2;DIA;Austausch Originalpräparat/Generikum;Substitution préparation originale/générique;Spirig HealthCare AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Spirig HealthCare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"<b>Substitution préparation originale/générique</b><br>
Aucune nouvelle garantie de prise en charge n'est nécessaire pour le traitement par ABIRATERON SPIRIG HC s'il existe déjà une garantie de prise en charge pour la préparation originale ou un autre générique dans la même indication. <br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Spirig HealthCare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.10.2024;01.01.2026
251;Abirateron Spirig HC;ABIRATSpirig;DIA;;;Spirig HealthCare AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Spirig HealthCare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Spirig HealthCare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.01.2022;01.09.2024
651;Abirateron Viatris;ABIRATViatr2;DIA;Austausch Originalpräparat/Generikum;Substitution préparation originale/générique;Helvepharm AG;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Helvepharm AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"<b>Substitution préparation originale/générique</b><br>
Aucune nouvelle garantie de prise en charge n'est nécessaire pour le traitement par ABIRATERON VIATRIS s'il existe déjà une garantie de prise en charge pour la préparation originale ou un autre générique dans la même indication. <br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Helvepharm AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.10.2024;01.12.2024
693;Abirateron Viatris;ABIRATViatr2;DIA;Austausch Originalpräparat/Generikum;Substitution préparation originale/générique;Viatris Pharma GmbH;company_rembourse;full_refund;;unknown;;;;1;1;0;;En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Viatris Pharma GmbH remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.;"<b>Substitution préparation originale/générique</b><br>
Aucune nouvelle garantie de prise en charge n'est nécessaire pour le traitement par ABIRATERON VIATRIS s'il existe déjà une garantie de prise en charge pour la préparation originale ou un autre générique dans la même indication. <br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou de la prednisolone pour le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC), sans métastases viscérales et sans métastases hépatiques, chez des patients asymptomatiques ou ne présentant que des symptômes légers, après échec d'un traitement par suppression androgénique et chez lesquels une chimiothérapie n’est pas indiquée cliniquement.<br>
<br>
En association avec des agonistes de la LH-RH et la prednisone ou la prednisolone pour le traitement du cancer métastatique avancé de la prostate en progression chez des patients déjà traités par docétaxel, après garantie de prise en charge des coûts par l’assureur-maladie et consultation préalable du médecin-conseil.<br>
<br>
Pour le traitement en association avec de la prednisone ou de la prednisolone (5 mg/jour) et un traitement par suppression androgénique (ADT) chez les patients présentant un carcinome métastatique de la prostate hormonosensible (mHSPC) à haut risque nouvellement diagnostiqué au cours des 3 derniers mois. Chez les patients n’ayant pas subi d’orchidectomie, l’administration d’abiratérone doit commencer au cours des 3 mois suivant le début de la suppression androgénique.<br>
Un risque élevé est défini par la présence d’au moins 2 des 3 facteurs de risque suivants: (1) score de Gleason ≥ 8; (2) présence d’au moins 3 lésions à la scintigraphie osseuse; (3) présence de métastases viscérales mesurables (hors atteinte ganglionnaire).<br>
<br>
En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Viatris Pharma GmbH remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Les arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.<br>
<br>";01.01.2025;01.01.2026
