cashback_id,limitation_id,preparation_id,limitation_code,product_name,cashback_extract,cashback_company,detection_patterns,rule_calc_type,rule_calc_value,rule_unit,rule_threshold_type,rule_threshold_value,rule_threshold_unit,rule_thresholds_all,rule_cond_treatment_stop,rule_cond_adverse_effects,rule_cond_treatment_failure,rule_cotreatments
151,2345,3931,ABIRATAccord,Abirateron Accord,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Accord Healthcare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Accord Healthcare AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,
281,3509,4218,ABIRAT.Devat,Abirateron Devatis,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Devatis AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Devatis AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,
146,2187,3900,ABIRATSandoz,Abirateron Sandoz,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Sandoz Pharmaceuticals AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Sandoz Pharmaceuticals AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,
147,2188,3901,ABIRATSpirig,Abirateron Spirig HC,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Spirig HealthCare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Spirig HealthCare AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,
213,3044,4101,ABIRATViatri,Abirateron Viatris,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Mylan Pharma GmbH remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Mylan Pharma GmbH,company_rembourse,full_refund,,unknown,,,,,1,1,0,
189,2628,3996,ABIRAT.Zenti,Abirateron Zentiva,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Helvepharm AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Helvepharm AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,
190,2629,3997,ABIRAT.TEVA,Abirateron-Teva,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Teva Pharma AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Teva Pharma AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,
251,3309,40,ADCETRIS.Ein,Adcetris,"Pour les traitements dans les indications avec modèle de prix, Takeda Pharma AG rembourse, sur demande, à l’assurance maladie auprès de laquelle la personne était assurée au moment de la remise, une partie du prix de fabrique par emballage d’ADCETRIS (1 ou 2 flacons) administré de manière prouvée.",Takeda Pharma AG,company_rembourse,unknown,,per_box,,,,,0,0,0,"[""ADCETRIS""]"
33,1136,3461,AIMOVIG,Aimovig,"À la demande de l’assureur maladie auprès duquel la personne était assurée au point de référence respectif, la société Novartis Pharma Schweiz AG rembourse, pour le traitement de patients recevant 140 mg d’AIMOVIG par mois, Fr. 522.47 pour deux solutions injectables à 70 mg en stylo pré-rempli AIMOVIG. La TVA ne peut pas faire l’objet d’une demande de remboursement en plus de ce montant. La demande de remboursement doit généralement être effectuée au cours des 6 mois suivant la facturation.",Novartis Pharma Schweiz AG,company_rembourse,chf_fixed,522.47,per_month,,,,,0,0,0,"[""AIMOVIG""]"
301,3709,4237,AKEEGA,Akeega,"Le titulaire de l'autorisation Janssen-Cilag AG rembourse à l'assureur-maladie auprès duquel la personne était assurée lors de la remise du médicament, à la première demande de l'assureur-maladie, un montant de Fr. 894.05 pour chaque boîte remis de AKEEGA. Le remboursement de la taxe sur la valeur ajoutée (TVA) ne peut pas être exigé en sus de ce montant du prix de fabrique. La demande de remboursement doit être effectuée à partir du moment de l'administration.",Janssen-Cilag AG,company_rembourse,chf_fixed,894.05,per_box,,,,,0,0,0,"[""AKEEGA""]"
