id;company;calc_type;calc_value;unit;threshold_type;threshold_value;threshold_unit;thresholds_all;thresholds_count;treatment_stop;adverse_effects;treatment_failure;cotreatments;cashback_extract
139;Roche Pharma (Suisse) SA;chf_fixed;1.39;per_mg;;;;;0;0;0;1;"[""AVASTIN""]";Dans cette indication, sur demande de l’assureur-maladie chez qui la personne assurée était assurée au moment de l’achat, Roche Pharma (Suisse) SA rembourse pour le traitement Fr. 1,39 par mg d’Avastin. En cas de prescription médicale appropriée, Avastin est remboursé jusqu’à la progression de la maladie. La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
164;AMGEN Switzerland AG;full_refund_pex;;unknown;greater_than;2;cycles;"[{""type"": ""greater_than"", ""value"": 2, ""unit"": ""cycles"", ""match"": ""> 2 cycles""}]";1;0;0;0;"[""BLINCYTO""]";Si Blincyto doit être utilisé > 2 cycles, la société AMGEN Switzerland AG rembourse, dans le cadre d’un traitement par BLINCYTO et sur demande de l’assureur maladie auquel la personne assurée était affiliée au moment de l’achat, le prix départ usine à partir du 55e paquet de BLINCYTO. La taxe sur la valeur ajoutée ne peut pas être récupérée en plus des montants de remboursement. La demande de remboursement doit généralement être effectuée dans les 6 mois suivant l’administration du traitement.
233;Roche Pharma (Suisse) SA;chf_fixed;3.0;per_box;;;;;0;0;0;0;"[""ZELBORAF"", ""COTELLIC""]";Sur demande de l’assureur-maladie auprès duquel la personne était assurée au moment de l’achat, l’entreprise Roche Pharma (Suisse) SA rembourse pour l’association Zelboraf et Cotellic la somme de CHF 3’581.40 à l’assureur-maladie pour chaque boîte de Cotellic achetée (=indicateur d’un cycle de traitement). La taxe sur la valeur ajoutée ne peut pas être exigée en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 3 mois qui suivent l’administration.
247;Janssen-Cilag AG;cost_refund;;unknown;not_beyond;4;weeks;"[{""type"": ""not_beyond"", ""value"": 4, ""unit"": ""weeks"", ""match"": ""ne se poursuit pas au-delà des 4 semaines""}]";1;0;0;0;"[""DARZALEX""]";Si le traitement ne se poursuit pas au-delà des 4 semaines initiales, la société Janssen-Cilag AG remboursera, sur demande de l’assureur-maladie auprès de qui la personne assurée était assurée au moment de l’achat, les coûts correspondant aux emballages remis jusqu’à ce moment-là ou aux quantités de Darzalex administrées. La TVA ne peut pas être remboursée en plus de ce montant. La demande de remboursement doit normalement être effectuée dans les 6 mois.
286;Bristol-Myers Squibb SA;percentage;26.95;per_box;;;;;0;0;0;0;"[""EMPLICITI""]";Bristol-Myers Squibb SA rembourse 26.95% du prix de sortie d’usine pour chaque emballage d’EMPLICITI acheté dans le cadre du traitement combiné d’EMPLICITI avec lénalidomide, sur demande de l’assureur-maladie auprès duquel la personne assurée était assurée au moment de l’administration. Le remboursement de la taxe sur la valeur ajoutée ne peut pas être exigé en sus de ce montant. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.
395;Gilead Sciences Suisse Sàrl;chf_fixed;14.0;unknown;treatment_of_duration;12;weeks;"[{""type"": ""treatment_of_duration"", ""value"": 12, ""unit"": ""weeks"", ""match"": ""traitement de 12 semaines""}]";1;0;0;0;"[""HARVONI""]";Dans le cas d’un traitement de 12 semaines par Harvoni, Gilead Sciences Suisse Sàrl remboursera, sur demande de l’assureur maladie chez lequel la personne assurée était assurée à la date de la délivrance du médicament, le prix de fabrique de la troisième boîte du médicament – soit CHF 14'034.42 – si son administration au patient est établie. Un remboursement de la TVA en plus de la somme susmentionnée est exclu. La demande de remboursement doit normalement être soumise dans les 3 mois suivant l’administration du médicament.
471;la firme sanofi-aventis (suisse) sa;unknown;;unknown;;;;;0;1;0;0;"[""JEVTANA""]";En cas d'arrêt de la thérapie avant le 2ème cycle de JEVTANA, la firme sanofi-aventis (suisse) sa remboursera au payeur, sur demande de l'assureur, les coûts de la dose de JEVTANA administrée pour le 1er cycle en termes de prix public.
472;Otsuka Pharmaceutical (Suisse) Sàrl;chf_fixed;1972.9;unknown;period_days;28;days;"[{""type"": ""period_days"", ""value"": 28, ""unit"": ""days"", ""match"": ""période de 28 jours""}]";1;0;0;0;"[""ASSAN""]";Le spécialiste FMH en néphrologie traitant exerçant dans le service de néphrologie d’un centre/d’une clinique et formé par Otsuka Pharmaceutical (Suisse) Sàrl doit fournir les informations suivantes dans la demande de garantie de prise en charge des coûts: • diagnostic authentifié d’une PKRAD (classe 1) typique établi sur la base du nombre de kystes par rein et de l’âge (selon les critères de Pei-Ravine) ou à l’aide d’un test génétique • indications relatives à la posologie • indication relative à l’évolution du volume rénal • indication relative à l’évolution du DFGe Si en raison d’une adaptation de la dose, la posologie du traitement doit être portée à 45 mg (30 mg +15 mg) ou 30 mg (15 mg +15 mg) par jour, la société Otsuka Pharmaceutical (Suisse) Sàrl rembourse les coûts thérapeutiques dépassant la somme de 1972,90 francs par période de 28 jours à l’assureur-maladie auprès duquel le patient était assuré au moment de la prestation.
514;;full_refund;;unknown;on_progression;;;"[{""type"": ""on_progression"", ""value"": null, ""unit"": null, ""match"": ""en cas de progression""}]";1;0;1;0;"[""OXALIPLATINE"", ""LONSURF""]";Uniquement après accord de prise en charge par l’assureur-maladie, après consultation préalable du médecin-conseil: pour le traitement des patients souffrant d'un cancer colorectal (CCR) métastatique qui ont déjà reçu une chimiothérapie à base de fluoropyrimidines, d’oxaliplatine et d’irinotécan, un traitement anti-VEGF ou – chez les patients porteurs d'un gène KRAS de typesauvage – un traitement anti-EGFR et qui remplissent les critères suivants: • Performance Status ECOG 0 – 1 • Fonction hépatique, fonction rénale et nfs (numération formule sanguine) adéquates En cas de progression, il convient d’interrompre le traitement par Lonsurf. En cas d’arrêt définitif du traitement dû à des effets indésirables liés à Lonsurf survenus au cours des 12 jours suivant le début du traitement, Servier (Suisse) S.A. remboursera à l’assureur-maladie les coûts de la totalité de l’emballage. Ces arrêts de traitement doivent être immédiatement notifiés à l’assureur-maladie par le médecin traitant.
533;AbbVie AG;chf_fixed;14.0;per_box;;;;;0;0;0;0;"[""MAVIRET""]";Dans le cas d’un traitement de 12 ou 16 semaines avec MAVIRET®, AbbVie AG remboursera, sur demande de l’assureur maladie chez lequel la personne assurée était assurée à la date de la délivrance du médicament, le prix de fabrique du troisième/quatrième emballage – soit CHF 14'738.63 par emballage – si son administration au patient est démontrée. Un remboursement de la TVA en plus de la somme susmentionnée est exclu. La demande de remboursement doit être soumise dans les 3 mois suivant l’administration du médicament.
