cashback_segment_id,segment_id,limitation_id,preparation_id,limitation_code,product_name,indication_name,indication_code,cashback_extract,cashback_company,detection_patterns,rule_calc_type,rule_calc_value,rule_unit,rule_threshold_type,rule_threshold_value,rule_threshold_unit,rule_thresholds_all,rule_cond_treatment_stop,rule_cond_adverse_effects,rule_cond_treatment_failure,rule_cotreatments,indication_name_fr,segment_order
355,1821,3795,3931,ABIRATAccor2,Abirateron Accord,Austausch Originalpräparat/Generikum,21423.01,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Accord Healthcare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Accord Healthcare AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,,Substitution préparation originale/générique,0
356,1822,3796,4218,ABIRATDevat2,Abirateron Devatis,Austausch Originalpräparat/Generikum,21737.01,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Devatis AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Devatis AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,,Substitution préparation originale/générique,0
357,1823,3797,3900,ABIRATSand02,Abirateron Sandoz,Austausch Originalpräparat/Generikum,21316.01,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Sandoz Pharmaceuticals AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Sandoz Pharmaceuticals AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,,Substitution préparation originale/générique,0
358,1824,3798,3901,ABIRATSpiri2,Abirateron Spirig HC,Austausch Originalpräparat/Generikum,21356.01,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Spirig HealthCare AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Spirig HealthCare AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,,Substitution préparation originale/générique,0
359,1825,3799,4101,ABIRATViatr2,Abirateron Viatris,Austausch Originalpräparat/Generikum,21600.01,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Helvepharm AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Helvepharm AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,,Substitution préparation originale/générique,0
382,1925,4040,4101,ABIRATViatr2,Abirateron Viatris,Austausch Originalpräparat/Generikum,21600.01,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Viatris Pharma GmbH remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Viatris Pharma GmbH,company_rembourse,full_refund,,unknown,,,,,1,1,0,,Substitution préparation originale/générique,0
360,1826,3800,3996,ABIRATZenti2,Abirateron Zentiva,Austausch Originalpräparat/Generikum,21481.01,"En cas d’arrêt du traitement rendu nécessaire par des effets indésirables survenus au cours des 10 jours suivant le début du traitement, Helvepharm AG remboursera à l’assureur-maladie les coûts de la totalité de l’emballage.",Helvepharm AG,company_rembourse,full_refund,,unknown,,,,,1,1,0,,Substitution préparation originale/générique,0
97,392,2112,79,ALECENSA2L3L,Alecensa,Zweit- oder Drittlinienbehandlung,20594.02,Roche Pharma (Suisse) SA remboursera à la caisse maladie auprès de laquelle le patient était assuré au moment de l’achat un montant de 351. La TVA ne peut pas être récupérée en plus.,Roche Pharma (Suisse) SA,company_rembourse,amount_number_only,351.0,unknown,,,,,0,0,0,,Traitement de deuxième ou de troisième ligne,0
25,87,1215,244,ARANESP2,Aranesp,Myelodysplastisches Syndrom der Risikogruppen low oder intermediate-1:,17807.02,"Dans le cadre du traitement de patients atteints de syndromes myélodysplasiques, Amgen Switzerland SA rembourse 11.57% du prix de sortie d’usine pour chaque emballage d’Aranesp, sur demande de l’assureur-maladie auprès duquel la personne assurée était assurée au moment de l’administration. Le remboursement de la TVA ne peut pas être exigé en sus de ces montants. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.",Amgen Switzerland SA,company_rembourse,percentage,11.57,per_box,,,,,0,0,0,"[""ARANESP""]",Syndromes myélodysplasiques des groupes à risque low ou intermédiate-1:,0
73,253,1949,244,ARANESP3,Aranesp,Myelodysplastisches Syndrom der Risikogruppen low oder intermediate-1:,17807.02,"Dans le cadre du traitement de patients atteints de syndromes myélodysplasiques, Amgen Switzerland SA rembourse 20.55% du prix de sortie d’usine pour chaque emballage d’Aranesp, sur demande de l’assureur-maladie auprès duquel la personne assurée était assurée au moment de l’administration. Le remboursement de la TVA ne peut pas être exigé en sus de ces montants. La demande de remboursement doit intervenir en règle générale dans les 6 mois qui suivent l’administration.",Amgen Switzerland SA,company_rembourse,percentage,20.55,per_box,,,,,0,0,0,"[""ARANESP""]",Syndromes myélodysplasiques des groupes à risque low ou intermédiate-1:,0
