segment_id,segment_name,matched_code,match_type,matched_to,score
539,Melanom 20461.03,20461.03,EMBEDDED_IN_NAME,Melanom 20461.03,1.0
540,Nierenzellkarzinom (RCC) 20461.10,20461.10,EMBEDDED_IN_NAME,Nierenzellkarzinom (RCC) 20461.10,1.0
541,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.11,20461.11,EMBEDDED_IN_NAME,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.11,1.0
542,Nicht-kleinzelliges Lungenkarzinom (NSCLC) 20461.01,20461.01,EMBEDDED_IN_NAME,Nicht-kleinzelliges Lungenkarzinom (NSCLC) 20461.01,1.0
543,Melanom 20461.02,20461.02,EMBEDDED_IN_NAME,Melanom 20461.02,1.0
544,Melanom adjuvant 20461.07,20461.07,EMBEDDED_IN_NAME,Melanom adjuvant 20461.07,1.0
545,Nierenzellkarzinom (RCC) 20461.04,20461.04,EMBEDDED_IN_NAME,Nierenzellkarzinom (RCC) 20461.04,1.0
546,Nierenzellkarzinom (RCC) 20461.10,20461.10,EMBEDDED_IN_NAME,Nierenzellkarzinom (RCC) 20461.10,1.0
547,Plattenepithelkarzinom im Kopf-Hals-Bereich (SCCHN) 20461.05,20461.05,EMBEDDED_IN_NAME,Plattenepithelkarzinom im Kopf-Hals-Bereich (SCCHN) 20461.05,1.0
548,Klassisches Hodgkin-Lymphom (cHL) 20461.06,20461.06,EMBEDDED_IN_NAME,Klassisches Hodgkin-Lymphom (cHL) 20461.06,1.0
549,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.08,20461.08,EMBEDDED_IN_NAME,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.08,1.0
550,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.11,20461.11,EMBEDDED_IN_NAME,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.11,1.0
551,Ösophaguskarzinom oder Karzinom des gastroösophagealen Übergangs (OC oder GEJC) adjuvant 20461.09,20461.09,EMBEDDED_IN_NAME,Ösophaguskarzinom oder Karzinom des gastroösophagealen Übergangs (OC oder GEJC) adjuvant 20461.09,1.0
577,Melanom 20461.03,20461.03,EMBEDDED_IN_NAME,Melanom 20461.03,1.0
578,Nicht-kleinzelliges Lungenkarzinom (NSCLC) 20461.01,20461.01,EMBEDDED_IN_NAME,Nicht-kleinzelliges Lungenkarzinom (NSCLC) 20461.01,1.0
579,Melanom 20461.02,20461.02,EMBEDDED_IN_NAME,Melanom 20461.02,1.0
580,Melanom 20461.03,20461.03,EMBEDDED_IN_NAME,Melanom 20461.03,1.0
581,Melanom adjuvant 20461.07,20461.07,EMBEDDED_IN_NAME,Melanom adjuvant 20461.07,1.0
582,Nierenzellkarzinom (RCC) 20461.04,20461.04,EMBEDDED_IN_NAME,Nierenzellkarzinom (RCC) 20461.04,1.0
583,Plattenepithelkarzinom im Kopf-Hals-Bereich (SCCHN) 20461.05,20461.05,EMBEDDED_IN_NAME,Plattenepithelkarzinom im Kopf-Hals-Bereich (SCCHN) 20461.05,1.0
584,Klassisches Hodgkin-Lymphom (cHL) 20461.06,20461.06,EMBEDDED_IN_NAME,Klassisches Hodgkin-Lymphom (cHL) 20461.06,1.0
585,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.08,20461.08,EMBEDDED_IN_NAME,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.08,1.0
586,Ösophaguskarzinom oder Karzinom des gastroösophagealen Übergangs (OC oder GEJC) adjuvant 20461.09,20461.09,EMBEDDED_IN_NAME,Ösophaguskarzinom oder Karzinom des gastroösophagealen Übergangs (OC oder GEJC) adjuvant 20461.09,1.0
587,MIUC adjuvant 20461.12,20461.12,EMBEDDED_IN_NAME,MIUC adjuvant 20461.12,1.0
616,Nicht-kleinzelliges Lungenkarzinom (NSCLC) 20461.01,20461.01,EMBEDDED_IN_NAME,Nicht-kleinzelliges Lungenkarzinom (NSCLC) 20461.01,1.0
617,Melanom 20461.02,20461.02,EMBEDDED_IN_NAME,Melanom 20461.02,1.0
618,Melanom 20461.03,20461.03,EMBEDDED_IN_NAME,Melanom 20461.03,1.0
619,Melanom adjuvant 20461.07,20461.07,EMBEDDED_IN_NAME,Melanom adjuvant 20461.07,1.0
620,Nierenzellkarzinom (RCC) 20461.04 ,20461.04,EMBEDDED_IN_NAME,Nierenzellkarzinom (RCC) 20461.04 ,1.0
621,Nierenzellkarzinom (RCC) 20461.10,20461.10,EMBEDDED_IN_NAME,Nierenzellkarzinom (RCC) 20461.10,1.0
622,Plattenepithelkarzinom im Kopf-Hals-Bereich (SCCHN) 20461.05,20461.05,EMBEDDED_IN_NAME,Plattenepithelkarzinom im Kopf-Hals-Bereich (SCCHN) 20461.05,1.0
623,Klassisches Hodgkin-Lymphom (cHL) 20461.06,20461.06,EMBEDDED_IN_NAME,Klassisches Hodgkin-Lymphom (cHL) 20461.06,1.0
624,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.08,20461.08,EMBEDDED_IN_NAME,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.08,1.0
625,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.11,20461.11,EMBEDDED_IN_NAME,Kolorektales Karzinom (CRC) mit dMMR/ MSI-H 20461.11,1.0
626,Ösophaguskarzinom oder Karzinom des gastroösophagealen Übergangs (OC oder GEJC) adjuvant 20461.09,20461.09,EMBEDDED_IN_NAME,Ösophaguskarzinom oder Karzinom des gastroösophagealen Übergangs (OC oder GEJC) adjuvant 20461.09,1.0
627,MIUC adjuvant 20461.12,20461.12,EMBEDDED_IN_NAME,MIUC adjuvant 20461.12,1.0
628,Ösophageales Plattenepithelkarzinom (OSCC) 20461.13,20461.13,EMBEDDED_IN_NAME,Ösophageales Plattenepithelkarzinom (OSCC) 20461.13,1.0
629,Ösophageales Plattenepithelkarzinom (OSCC) 20461.14,20461.14,EMBEDDED_IN_NAME,Ösophageales Plattenepithelkarzinom (OSCC) 20461.14,1.0
