sku_id,pack_id_db,gtin,swissmedic_no8,preparation_id,product_name,description_de,form_type,form_type_raw,container_count,unit_count,volume_per_unit,volume_unit,total_volume,dose_count,multiplier,multiplied_count,total_units,substance_name,substance_qty,substance_qty_raw,substance_unit,total_substance,is_alt,annotation,parse_confidence,parse_pattern,org_gen_code,atc_code,public_price,exfactory_price
1,1,7680536620137,53662013,1,3TC,60 Stk,,,,60.0,,,,,,,60,Lamivudinum,150.0,150,mg,9000.0,0,,HIGH,P9_SIMPLE,O,J05AF05,191.9,162.73
2,2,7680536620212,53662021,1,3TC,30 Stk,,,,30.0,,,,,,,30,Lamivudinum,150.0,150,mg,4500.0,0,,HIGH,P9_SIMPLE,O,J05AF05,191.9,162.73
3,3,7680536630365,53663036,2,3TC,240 ml,,,,,240.0,ml,240.0,,,,1,Lamivudinum,150.0,150,mg,150.0,0,,HIGH,P9_SIMPLE,,J05AF05,71.1,50.28
4,4,7680148250371,14825037,3,A.T. 10,30 ml,,,,,30.0,ml,30.0,,,,1,Dihydrotachysterolum,1.0,1,mg,1.0,0,,HIGH,P9_SIMPLE,,A11CC02,63.4,43.2
5,10240,7680631750050,63175005,3615,APO-go,3 ml 5 Stk,,,5.0,,3.0,ml,15.0,,,,5,Apomorphini hydrochloridum hemihydricum,30.0,30,mg,150.0,0,,MEDIUM,P13_VOL_STK,,N04BC07,168.2,139.55
6,10239,7680631760011,63176001,3614,APO-go,10 ml 5 Stk,,,5.0,,10.0,ml,50.0,,,,5,Apomorphini hydrochloridum hemihydricum,50.0,50,mg,250.0,0,,MEDIUM,P13_VOL_STK,,N04BC07,110.9,86.89
7,12952,7680686040014,68604001,4189,APO-go,5 Patronen 20 ml,CARTRIDGE,Patronen,5.0,,20.0,ml,100.0,,,,5,Apomorphini hydrochloridum hemihydricum,100.0,100,mg,500.0,0,,HIGH,P4_N_FORM_VOL,,N04BC07,178.95,149.45
8,673,7680494940179,49494017,268,ASA-Tabs,20 Stk,,,,20.0,,,,,,,20,Acidum acetylsalicylicum,500.0,500,mg,10000.0,0,,HIGH,P9_SIMPLE,,N02BA01,3.45,1.87
9,679,7680663600019,66360001,271,ASS Cardio Axapharm,30 Stk,,,,30.0,,,,,,,30,Acidum acetylsalicylicum,100.0,100,mg,3000.0,0,,HIGH,P9_SIMPLE,,B01AC06,11.55,2.11
10,680,7680663600026,66360002,271,ASS Cardio Axapharm,100 Stk,,,,100.0,,,,,,,100,Acidum acetylsalicylicum,100.0,100,mg,10000.0,0,,HIGH,P9_SIMPLE,,B01AC06,16.05,6.29
11,13988,7680697240014,69724001,4437,ASS Cardio Sandoz,Blist 30 Stk,BLISTER,Blist,30.0,30.0,,,,,,,30,Acidum acetylsalicylicum,100.0,100,mg,3000.0,0,,HIGH,P5_FORM_STK,,B01AC06,11.5,2.07
12,13989,7680697240021,69724002,4437,ASS Cardio Sandoz,Blist 100 Stk,BLISTER,Blist,100.0,100.0,,,,,,,100,Acidum acetylsalicylicum,100.0,100,mg,10000.0,0,,HIGH,P5_FORM_STK,,B01AC06,15.5,5.75
13,684,7680660970016,66097001,273,ASS Cardio Spirig HC,30 Stk,,,,30.0,,,,,,,30,Acidum acetylsalicylicum,100.0,100,mg,3000.0,0,,HIGH,P9_SIMPLE,,B01AC06,11.5,2.1
14,685,7680660970023,66097002,273,ASS Cardio Spirig HC,60 Stk,,,,60.0,,,,,,,60,Acidum acetylsalicylicum,100.0,100,mg,6000.0,0,,HIGH,P9_SIMPLE,,B01AC06,13.8,4.2
15,688,7680660970047,66097004,273,ASS Cardio Spirig HC,120 Stk,,,,120.0,,,,,,,120,Acidum acetylsalicylicum,100.0,100,mg,12000.0,0,,HIGH,P9_SIMPLE,,B01AC06,17.0,7.12
16,686,7680660970054,66097005,273,ASS Cardio Spirig HC,100 Stk,,,,100.0,,,,,,,100,Acidum acetylsalicylicum,100.0,100,mg,10000.0,0,,HIGH,P9_SIMPLE,,B01AC06,15.25,5.55
17,687,7680660970061,66097006,273,ASS Cardio Spirig HC,Fl 100 Stk,BOTTLE,Fl,100.0,100.0,,,,,,,100,Acidum acetylsalicylicum,100.0,100,mg,10000.0,0,,HIGH,P5_FORM_STK,,B01AC06,15.25,5.55
18,12953,7680686590014,68659001,4190,ASS Cardio Zentiva,Blist 30 Stk,BLISTER,Blist,30.0,30.0,,,,,,,30,Acidum acetylsalicylicum,100.0,100,mg,3000.0,0,,HIGH,P5_FORM_STK,,B01AC06,11.25,1.85
19,12954,7680686590021,68659002,4190,ASS Cardio Zentiva,Blist 100 Stk,BLISTER,Blist,100.0,100.0,,,,,,,100,Acidum acetylsalicylicum,100.0,100,mg,10000.0,0,,HIGH,P5_FORM_STK,,B01AC06,14.85,5.18
20,681,7680627840086,62784008,272,ASS-Cardio-Mepha,30 Stk,,,,30.0,,,,,,,30,Acidum acetylsalicylicum,100.0,100,mg,3000.0,0,,HIGH,P9_SIMPLE,,B01AC06,11.55,2.11
21,682,7680627840093,62784009,272,ASS-Cardio-Mepha,100 Stk,,,,100.0,,,,,,,100,Acidum acetylsalicylicum,100.0,100,mg,10000.0,0,,HIGH,P9_SIMPLE,,B01AC06,15.95,6.18
22,683,7680627840109,62784010,272,ASS-Cardio-Mepha,Ds 100 Stk,DISPENSER,Ds,100.0,100.0,,,,,,,100,Acidum acetylsalicylicum,100.0,100,mg,10000.0,0,,HIGH,P5_FORM_STK,,B01AC06,15.95,6.18
23,9149,7680666870013,66687001,3388,Abacavir Lamivudin Sandoz,Blist 30 Stk,BLISTER,Blist,30.0,30.0,,,,,,,30,Abacavirum,600.0,600,mg,18000.0,0,,HIGH,P5_FORM_STK,G,J05AR02,268.95,232.22
24,10806,7680670640015,67064001,3712,Abacavir-Lamivudin-Mepha,Blist 30 Stk,BLISTER,Blist,30.0,30.0,,,,,,,30,Abacavirum,600.0,600,mg,18000.0,0,,HIGH,P5_FORM_STK,G,J05AR02,268.95,232.22
25,6,7680650670018,65067001,5,Abasaglar,5 x 3 ml,,,,,3.0,ml,15.0,,5.0,3.0,5,Insulinum glarginum,100.0,100,U,500.0,0,,HIGH,P3_MULT_UNIT,,A10AE04,66.95,44.05
26,5,7680650690023,65069002,4,Abasaglar,5 Fertspr 3 ml,SYRINGE,Fertspr,5.0,,3.0,ml,15.0,,,,5,Insulinum glarginum,100.0,100,U,500.0,0,,HIGH,P4_N_FORM_VOL,,A10AE04,64.65,44.37
27,7,7680562090027,56209002,6,Abilify,28 Stk,,,,28.0,,,,,,,28,Aripiprazolum,5.0,5,mg,140.0,0,,HIGH,P9_SIMPLE,O,N05AX12,67.0,46.93
28,8,7680562090041,56209004,6,Abilify,28 Stk,,,,28.0,,,,,,,28,Aripiprazolum,5.0,5,mg,140.0,0,,HIGH,P9_SIMPLE,O,N05AX12,71.55,51.1
29,9,7680562090164,56209016,6,Abilify,28 Stk,,,,28.0,,,,,,,28,Aripiprazolum,5.0,5,mg,140.0,0,,HIGH,P9_SIMPLE,O,N05AX12,77.7,56.8
30,10,7680562090249,56209024,6,Abilify,28 Stk,,,,28.0,,,,,,,28,Aripiprazolum,5.0,5,mg,140.0,0,,HIGH,P9_SIMPLE,O,N05AX12,126.65,102.24
31,11,7680573480077,57348007,7,Abilify,28 Stk,,,,28.0,,,,,,,28,Aripiprazolum,10.0,10,mg,280.0,0,,HIGH,P9_SIMPLE,O,N05AX12,71.55,51.1
32,12,7680573480114,57348011,7,Abilify,28 Stk,,,,28.0,,,,,,,28,Aripiprazolum,10.0,10,mg,280.0,0,,HIGH,P9_SIMPLE,O,N05AX12,77.7,56.8
33,13,7680578310027,57831002,8,Abilify,150 ml,,,,,150.0,ml,150.0,,,,1,Aripiprazolum,1.0,1,mg,1.0,0,,HIGH,P9_SIMPLE,O,N05AX12,155.55,121.22
34,9889,7680578310041,57831004,8,Abilify,Fl 150 ml,BOTTLE,Fl,1.0,,150.0,ml,150.0,,,,1,Aripiprazolum,1.0,1,mg,1.0,0,,HIGH,P6_FORM_VOL,O,N05AX12,110.65,87.39
35,14026,7680697930014,69793001,4446,Abilify Asimtufii Depot,1 Stk,,,,1.0,,,,,,,1,Aripiprazolum,720.0,720,mg,720.0,0,,HIGH,P9_SIMPLE,,N05AX12,607.45,543.44
36,14027,7680697930021,69793002,4446,Abilify Asimtufii Depot,1 Stk,,,,1.0,,,,,,,1,Aripiprazolum,720.0,720,mg,720.0,0,,HIGH,P9_SIMPLE,,N05AX12,607.45,543.44
37,14,7680631770010,63177001,9,Abilify Maintena Depot,Inj kit 1 Stk,INJECTION_KIT,Inj kit,1.0,1.0,,,,,,,1,Aripiprazolum,300.0,300,mg,300.0,0,,HIGH,P5_FORM_STK,,N05AX12,482.35,405.87
